Week;Date;Till;Accounts;Total;Cash;# Cust.;Cash Av Spend;EFTPOS;# Cust.2;Cust # TOTAL;EFTPOS Av $pend;TOTAL Av Spend;Notes;Till Up Down;Reserved column;# of the week;Year;Day of the week;Week + Year;IsCristmas;Fixed
17;19 €нвар€ 2008 г.;$604,76;$0,00;$0,00;$589,40;38;$15,51;$15,36;1;39;$15,36;$15,51;;$0,00;;3;2008;Sat;2008-3;0;
;20 €нвар€ 2008 г.;$4 981,94;$2 362,18;$7 344,12;;267;$15,75;$735,04;21;288;$36,14;$17,10;;;;4;2008;Sun;2008-4;0;
18;21 €нвар€ 2008 г.;$494,57;$0,00;$0,00;$432,65;27;$16,02;$61,92;2;29;$30,96;$17,05;Bakery paid 1206.50 for the bill from the 5th onwards while Bill was away. This has been added to the previous weeks when it occurred.;$0,05;;4;2008;Mon;2008-4;0;
18;22 €нвар€ 2008 г.;$739,43;$0,00;$0,00;$594,10;39;$15,23;$145,33;5;44;$29,07;$16,81;;-$0,10;;4;2008;Tue;2008-4;0;
18;23 €нвар€ 2008 г.;$545,32;$0,00;$0,00;$452,90;37;$12,24;$92,42;4;41;$23,11;$13,30;;-$5,20;;4;2008;Wed;2008-4;0;
18;24 €нвар€ 2008 г.;$1 048,98;$0,00;$0,00;$917,65;64;$14,34;$131,33;4;68;$32,83;$15,43;;$0,15;;4;2008;Thu;2008-4;0;
18;25 €нвар€ 2008 г.;$1 470,48;$0,00;$0,00;$1 096,55;64;$17,13;$373,93;2;66;$186,97;$22,28;;$0,05;;4;2008;Fri;2008-4;0;
18;26 €нвар€ 2008 г.;$888,49;$0,00;$0,00;$622,55;34;$18,31;$265,94;5;39;$53,19;$22,78;;$0,00;;4;2008;Sat;2008-4;0;
;27 €нвар€ 2008 г.;$5 187,27;$1 149,50;$6 336,77;;265;$15,55;$1 070,87;22;287;$59,35;$17,94;;;;5;2008;Sun;2008-5;0;
19;28 €нвар€ 2008 г.;$0,00;$0,00;$0,00;$0,00;0;$0,00;$0,00;0;0;$0,00;$0,00;Australia day;;;5;2008;Mon;2008-5;0;
19;29 €нвар€ 2008 г.;$753,83;$0,00;$0,00;$368,60;40;$9,22;$384,23;6;46;$64,04;$16,37;;;;5;2008;Tue;2008-5;0;
19;30 €нвар€ 2008 г.;$1 039,53;$0,00;$0,00;$873,15;57;$15,32;$113,60;5;62;$22,72;$15,92;Laidley Hotel cheque 1247.29 not counted in takings;;;5;2008;Wed;2008-5;0;
19;31 €нвар€ 2008 г.;$884,22;$0,00;$0,00;$732,40;43;$17,03;$151,82;5;48;$30,36;$18,42;;;;5;2008;Thu;2008-5;0;
19;1 феврал€ 2008 г.;$997,71;$0,00;$0,00;$743,00;48;$15,48;$254,71;5;53;$50,94;$18,82;;;;5;2008;Fri;2008-5;0;
19;2 феврал€ 2008 г.;$462,89;$0,00;$0,00;$357,75;23;$15,55;$105,14;4;27;$26,29;$17,14;;;;5;2008;Sat;2008-5;0;
;3 феврал€ 2008 г.;$4 138,18;$1 258,68;$5 396,86;;211;$12,10;$1 009,50;25;236;$32,39;$14,45;;;;6;2008;Sun;2008-6;0;
20;4 феврал€ 2008 г.;$1 529,12;$0,00;$0,00;$398,95;29;$13,76;$1 130,17;6;35;$188,36;$43,69;Hattonvale & Bakery $594.93;$0,05;;6;2008;Mon;2008-6;0;
20;5 феврал€ 2008 г.;$640,14;$0,00;$0,00;$579,20;41;$14,13;$60,94;3;44;$20,31;$14,55;;$1,00;;6;2008;Tue;2008-6;0;
20;6 феврал€ 2008 г.;$570,14;$0,00;$0,00;$418,85;33;$12,69;$151,29;4;37;$37,82;$15,41;;$1,80;;6;2008;Wed;2008-6;0;
20;7 феврал€ 2008 г.;$1 083,98;$0,00;$0,00;$728,80;43;$16,95;$355,18;7;50;$50,74;$21,68;;$0,80;;6;2008;Thu;2008-6;0;
